Product ID,Location,Channel,Customer Age,Rating,Recommend Flag
767,Mumbai,Mobile,33,4,1
1080,Bangalore,Mobile,34,5,1
1077,Gurgaon,Mobile,60,3,0
1049,Chennai,Web,50,5,1
847,Bangalore,Web,47,5,1
1080,Gurgaon,Web,49,2,0
858,Gurgaon,Mobile,39,5,1
858,Gurgaon,Mobile,39,4,1
1077,Mumbai,Web,24,5,1
1077,Gurgaon,Mobile,34,5,1
1077,Mumbai,Mobile,53,3,0
1095,Mumbai,Mobile,39,5,1
1095,Mumbai,Web,53,5,1
767,Gurgaon,Mobile,44,5,1
1077,Gurgaon,Mobile,50,3,1
1065,Gurgaon,Mobile,47,4,1
1065,Mumbai,Web,34,3,1
853,Gurgaon,Mobile,41,5,1
1120,Chennai,Mobile,32,5,1
1077,Mumbai,Mobile,47,5,1
847,Mumbai,Mobile,33,4,1
1080,Bangalore,Web,55,4,1
1077,Gurgaon,Web,31,2,0
1077,Chennai,Web,34,3,1
847,Bangalore,Web,55,5,1
697,Gurgaon,Mobile,31,3,0
949,Mumbai,Mobile,33,2,0
1003,Mumbai,Web,31,4,1
684,Bangalore,Mobile,53,5,1
4,Bangalore,Web,28,5,1
1060,Mumbai,Web,33,5,1
1060,Mumbai,Web,46,5,1
1060,Chennai,Mobile,21,5,1
949,Gurgaon,Mobile,36,2,0
697,Gurgaon,Mobile,39,5,1
1060,Gurgaon,Web,65,4,1
1002,Mumbai,Web,29,4,1
949,Gurgaon,Web,38,5,1
684,Gurgaon,Mobile,36,5,1
862,Mumbai,Mobile,59,5,1
862,Mumbai,Mobile,47,4,1
862,Mumbai,Mobile,40,5,1
910,Gurgaon,Mobile,23,5,1
89,Bangalore,Web,67,4,1
862,Bangalore,Mobile,48,5,1
862,Mumbai,Web,43,4,1
862,Mumbai,Web,40,5,1
823,Gurgaon,Web,52,5,1
910,Gurgaon,Mobile,56,5,1
862,Mumbai,Web,33,5,1
862,Gurgaon,Web,46,4,1
862,Gurgaon,Web,41,5,1
1104,Gurgaon,Mobile,39,3,1
862,Gurgaon,Mobile,39,5,1
862,Gurgaon,Web,66,4,1
862,Bangalore,Mobile,61,5,1
368,Gurgaon,Web,33,2,0
862,Mumbai,Web,31,3,0
1095,Gurgaon,Web,36,4,1
368,Mumbai,Web,52,4,1
1095,Chennai,Mobile,41,5,1
368,Gurgaon,Web,36,1,0
862,Gurgaon,Web,28,5,1
862,Bangalore,Web,57,5,1
862,Mumbai,Web,43,5,1
862,Gurgaon,Web,58,4,1
862,Gurgaon,Web,60,4,1
862,Gurgaon,Mobile,40,5,1
862,Gurgaon,Web,37,2,0
1078,Bangalore,Web,56,3,0
845,Gurgaon,Web,38,4,1
822,Gurgaon,Web,36,2,0
850,Gurgaon,Mobile,27,5,1
866,Gurgaon,Web,47,4,1
1081,Bangalore,Web,59,5,1
845,Mumbai,Mobile,48,5,1
1082,Mumbai,Web,31,4,1
850,Chennai,Web,28,2,0
836,Bangalore,Web,47,5,1
1081,Gurgaon,Web,62,4,1
1072,Mumbai,Web,68,5,1
863,Bangalore,Web,61,5,1
1133,Gurgaon,Mobile,33,5,1
822,Gurgaon,Mobile,68,5,1
861,Chennai,Web,37,3,1
866,Mumbai,Web,58,1,0
850,Chennai,Web,39,4,1
1081,Gurgaon,Web,39,4,1
845,Gurgaon,Web,38,2,0
836,Mumbai,Web,24,4,1
1078,Bangalore,Web,51,4,1
850,Mumbai,Mobile,29,5,1
861,Gurgaon,Mobile,23,5,1
1081,Gurgaon,Mobile,31,5,1
850,Mumbai,Mobile,23,4,1
863,Bangalore,Web,83,5,1
845,Gurgaon,Mobile,44,1,0
861,Gurgaon,Web,44,1,0
1133,Mumbai,Mobile,50,5,1
861,Bangalore,Mobile,33,3,0
861,Bangalore,Web,39,4,1
863,Mumbai,Mobile,40,4,1
822,Chennai,Web,69,5,1
822,Mumbai,Web,23,2,0
863,Bangalore,Mobile,51,2,0
836,Gurgaon,Web,66,5,1
836,Mumbai,Web,47,4,1
836,Mumbai,Web,66,4,1
836,Chennai,Web,23,5,1
1081,Bangalore,Web,47,5,1
861,Gurgaon,Mobile,44,1,0
1081,Mumbai,Web,44,3,1
836,Bangalore,Mobile,50,5,1
1081,Chennai,Mobile,61,5,1
1082,Mumbai,Web,32,2,0
863,Bangalore,Web,52,4,1
1072,Chennai,Mobile,51,4,1
1078,Bangalore,Web,32,5,1
850,Mumbai,Web,37,2,0
836,Chennai,Mobile,54,5,1
861,Mumbai,Web,33,5,1
966,Chennai,Web,63,5,1
1196,Mumbai,Web,29,5,1
836,Mumbai,Mobile,24,5,1
923,Chennai,Mobile,50,3,0
1072,Mumbai,Mobile,34,3,1
1133,Mumbai,Mobile,71,4,1
1133,Chennai,Mobile,30,5,1
966,Gurgaon,Web,52,4,1
863,Gurgaon,Web,28,5,1
845,Mumbai,Mobile,62,4,1
1081,Gurgaon,Web,39,3,1
861,Gurgaon,Mobile,46,4,1
966,Bangalore,Web,36,5,1
845,Mumbai,Mobile,65,5,1
861,Gurgaon,Web,35,4,1
966,Mumbai,Mobile,31,4,1
836,Gurgaon,Web,52,4,1
126,Mumbai,Web,34,4,1
1008,Mumbai,Web,31,5,1
829,Gurgaon,Mobile,36,5,1
828,Bangalore,Web,39,4,1
1126,Gurgaon,Web,35,5,1
1008,Gurgaon,Web,51,5,1
829,Mumbai,Mobile,39,3,0
828,Bangalore,Web,39,3,1
1008,Bangalore,Mobile,39,5,1
1011,Mumbai,Web,47,5,1
1008,Mumbai,Mobile,64,5,1
